"date","Tomorrow.io","OpenWeatherMap","National Weather Service","AccuWeather","WeatherAPI","Weatherbit","Visual Crossing","Open-Meteo"
"5/14/2025","","","","",100,99.5,97.3,98.24
"5/15/2025",97.34,87.39,"",98,94.1,100.04,98,95.9
"5/16/2025",96.8,102.88,100,99,96.6,99.86,97.1,97.34
"5/17/2025",97.7,102.38,99,99,91.2,99.5,96,100.22
"5/18/2025",97.34,100.49,99,98,101.8,96.8,97.2,103.1
"5/19/2025",100.4,102.99,99,98,100.5,95.36,94,95
"5/20/2025",93.2,95.11,96,"",80.1,89.6,92.6,82.22
"5/21/2025",90.86,"",95,"","","",93.8,""
"5/22/2025","","",91,"","","","",""
